code,name,sector,price,per,pbr,dividend_yield,roe,market_cap_oku_yen,ma25,ma75,rsi14,signal,news_count,news_sentiment,news_label,news_latest
6428,オーイズミ,機械,313.0,11.802413,0.37737122,3.83,3.23,70.4,312.9,318.1,47.1,中立,0,,,
6430,ダイコク電機,機械,2485.0,6.280486,0.72847474,4.02,12.12,361.8,2318.3,2259.6,76.6,買われすぎ,1,,,2026-07-23
6432,竹内製作所,機械,7490.0,12.233965,1.8566906,2.94,16.29,3459.8,7302.8,7155.1,54.1,中立,0,,,
6433,ヒーハイスト,機械,828.0,,2.459513,0.24,-29.2,51.6,1030.4,1277.9,33.3,中立,0,,,
6436,アマノ,機械,3895.0,13.608413,1.9460735,6.42,14.68,2697.7,3752.6,3694.6,58.7,中立,1,,,2026-07-28
6440,ＪＵＫＩ,機械,496.0,10.557684,0.4554332,3.02,4.48,146.6,530.2,598.5,38.5,中立,0,,,
6444,サンデン,機械,158.0,64.22764,0.6102883,,9.93,178.0,159.8,163.3,48.7,中立,0,,,
6445,ジャノメ,機械,1321.0,39.63396,0.64027005,4.54,1.83,220.9,1323.0,1253.7,51.3,中立,0,,,
6448,ブラザー工業,電気機器,4029.0,16.27024,1.3138051,2.48,8.58,9964.8,3803.2,3566.5,65.1,中立,0,,,
6454,マックス,機械,1746.0,22.832483,2.7227008,2.29,12.55,3139.1,1718.7,1694.0,56.9,中立,0,,,
6455,モリタホールディングス,輸送用機器,2556.0,11.372636,1.0347697,2.5,9.53,1047.2,2430.2,2513.3,67.0,中立,0,,,
6457,グローリー,機械,4607.0,16.698683,1.1443669,3.34,6.86,2379.1,4170.6,4104.6,75.8,買われすぎ,0,,,
6458,新晃工業,機械,1239.0,12.442257,1.3134725,4.04,10.56,831.9,1253.4,1240.4,46.3,中立,0,,,
6459,大和冷機工業,機械,1714.0,16.663425,1.2027074,3.5,6.66,841.8,1663.9,1741.6,56.1,中立,0,,,
6460,セガサミーホールディングス,機械,2921.5,,1.6681522,1.88,-1.56,5928.5,2415.9,2343.7,82.2,買われすぎ,0,,,
6463,ＴＰＲ,機械,1471.0,10.283117,0.54182595,3.81,5.84,943.9,1415.4,1356.6,62.0,中立,0,,,
6464,ツバキ・ナカシマ,機械,343.0,,0.34256187,,-54.84,131.2,389.5,370.5,34.5,中立,0,,,
6465,ホシザキ,機械,5844.0,21.664505,2.0845408,1.97,10.03,8216.9,5468.0,5237.8,68.5,中立,0,,,
6466,ＴＶＥ,機械,3810.0,8.710363,0.6880776,1.05,8.47,89.4,4340.4,4289.3,35.8,中立,0,,,
6467,ニチダイ,機械,329.0,,0.281057,1.82,-7.21,29.7,328.5,334.2,49.3,中立,2,,,2026-07-23
6469,放電精密加工研究所,機械,2470.0,32.011402,3.0271277,0.81,11.14,263.8,2655.1,2789.9,43.3,中立,0,,,
6470,大豊工業,機械,1089.0,,0.4853512,2.75,-8.68,309.2,1074.2,1117.5,51.3,中立,0,,,
6471,日本精工,機械,1102.0,23.678556,0.80245775,3.09,3.57,5392.3,1146.5,1186.1,43.3,中立,0,,,
6472,ＮＴＮ,機械,364.3,15.568376,0.72947824,3.57,4.99,2165.8,391.9,399.8,37.1,中立,0,,,
6473,ジェイテクト,機械,2083.0,55.502266,0.8391296,3.36,1.8,6630.9,2071.7,1985.6,51.7,中立,0,,,
6474,不二越,機械,5060.0,16.51005,0.64596164,2.17,3.97,1102.9,6000.8,5656.4,33.3,中立,0,,,
6479,ミネベアミツミ,電気機器,3545.0,14.381922,1.5836505,1.69,11.92,14236.6,4328.0,4026.5,30.7,中立,0,,,
6480,日本トムソン,機械,1543.0,26.425758,1.2944305,2.07,5.12,1076.5,2000.9,1794.2,31.7,中立,0,,,
6481,ＴＨＫ,機械,6131.0,68.19041,2.718002,3.0,5.19,6871.2,7217.9,6895.4,35.4,中立,0,,,
6482,ＹＵＳＨＩＮ,機械,666.0,78.35294,0.633511,3.0,0.95,208.5,686.6,689.3,42.5,中立,0,,,
6484,ＫＶＫ,機械,2314.0,8.478054,0.6031165,3.89,7.41,185.8,2353.5,2368.3,42.9,中立,0,,,
6485,前澤給装工業,機械,1595.0,12.190462,0.809068,3.76,7.35,324.7,1534.2,1496.7,66.9,中立,1,,,2026-07-24
6486,イーグル工業,機械,2990.0,13.79024,1.0212604,4.68,9.24,1358.9,2909.2,2887.0,56.2,中立,0,,,
6488,ヨシタケ,機械,986.0,8.48318,0.6840377,3.65,8.36,125.4,964.8,947.3,67.7,中立,0,,,
6490,ＰＩＬＬＡＲ,機械,8540.0,21.99387,2.4583378,1.87,11.67,1952.4,10078.8,9620.7,37.3,中立,1,,,2026-07-24
